title,make,model,year,condition,transmission,price
Honda Accord EX-L V-6 4dr Sedan FWD (3.5L 6cyl 6A) 2013 Black,Honda,Accord EX-L,2013,local used,automatic,"₦ 11,300,000"
Toyota Echo Automatic 2003 Black,Toyota,Echo Automatic,2003,local used,automatic,"₦ 2,500,000"
Volvo XC70 T6 2009 Silver,Volvo,XC70 T6,2009,foreign used,automatic,"₦ 14,500,000"
Toyota Corolla LE Eco (1.8L 4cyl 2A) 2018 White,Toyota,Corolla LE,2018,foreign used,automatic,"₦ 15,000,000"
Honda CR-V EX 4dr SUV AWD (2.4L 4cyl CVT) 2016 Blue,Honda,CR-V EX,2016,local used,automatic,"₦ 13,500,000"
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2014 White,Mercedes-Benz,E350 Base,2014,foreign used,automatic,"₦ 23,000,000"
Toyota Camry XSE 2022 Red,Toyota,Camry XSE,2022,foreign used,automatic,"₦ 39,000,000"
Toyota Highlander LE 4dr SUV AWD (3.5L 6cyl 6A) 2014 Gray,Toyota,Highlander LE,2014,foreign used,automatic,"₦ 29,500,000"
Lexus ES 350 FWD 2014 Gray,Lexus,ES 350,2014,local used,automatic,"₦ 16,300,000"
Volkswagen Golf 2000 Silver,Volkswagen,Golf,2000,local used,manual,"₦ 2,580,000"
Toyota Highlander 2013 Gray,Toyota,Highlander,2013,local used,automatic,"₦ 12,950,000"
Toyota Sienna LE 2009,Toyota,Sienna LE,2009,foreign used,automatic,"₦ 13,300,000"
Toyota Camry 2002 Silver,Toyota,Camry,2002,local used,automatic,"₦ 3,800,000"
Toyota RAV4 SE 4dr SUV (2.5L 4cyl 6A) 2018 Gray,Toyota,RAV4 SE,2018,foreign used,automatic,"₦ 34,500,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2012 Red,Toyota,Corolla LE,2012,foreign used,automatic,"₦ 13,000,000"
Toyota Tacoma PreRunner 4dr Double Cab 5.0 ft. SB (2.7L 4cyl 4A) 2015,Toyota,Tacoma PreRunner,2015,foreign used,automatic,"₦ 35,000,000"
Land Rover Range Rover Sport HSE 4x4 (3.0L 6cyl 8A) 2014 White,Land,Rover Range,2014,local used,automatic,"₦ 30,000,000"
Toyota Camry XSE 4dr Sedan (2.5L 4cyl 6A) 2015 White,Toyota,Camry XSE,2015,local used,automatic,"₦ 13,700,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2015 Black,Toyota,Camry SE,2015,local used,automatic,"₦ 12,700,000"
Honda Accord LX 1.5T 2021 Gray,Honda,Accord LX,2021,foreign used,automatic,"₦ 27,500,000"
Toyota Corolla SE (1.8L 4cyl 2A) 2019 Black,Toyota,Corolla SE,2019,foreign used,automatic,"₦ 26,700,000"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6A) 2012 White,Toyota,Camry XLE,2012,local used,automatic,"₦ 11,150,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Black,Toyota,Camry SE,2013,foreign used,automatic,"₦ 14,300,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2015 Gray,Toyota,Camry SE,2015,foreign used,automatic,"₦ 16,000,000"
Toyota Camry SE (2.5L 4cyl 8A) 2019 Red,Toyota,Camry SE,2019,foreign used,automatic,"₦ 28,500,000"
Toyota Corolla S 4dr Sedan (1.8L 4cyl 4A) 2009 Burgundy,Toyota,Corolla S,2009,foreign used,automatic,"₦ 9,800,000"
Mercedes-Benz GLC-Class 2016 Gray,Mercedes-Benz,GLC-Class,2016,foreign used,automatic,"₦ 34,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Black,Toyota,Camry SE,2013,foreign used,automatic,"₦ 11,000,000"
Lexus RX 350 AWD 2015 Black,Lexus,RX 350,2015,local used,automatic,"₦ 19,500,000"
Lexus ES 350 FWD 2016 Gray,Lexus,ES 350,2016,foreign used,automatic,"₦ 35,000,000"
Mercedes-Benz E350 Base 2dr Coupe RWD (3.5L 6cyl 7A) 2010 Black,Mercedes-Benz,E350 Base,2010,local used,automatic,"₦ 12,800,000"
Lexus RX 350 2007 Gray,Lexus,RX 350,2007,foreign used,automatic,"₦ 14,700,000"
Lexus IS 250 2010 Blue,Lexus,IS 250,2010,local used,automatic,"₦ 8,000,000"
Toyota Corolla 2022 White,Toyota,Corolla,2022,foreign used,automatic,"₦ 20,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2010 Silver,Toyota,Corolla LE,2010,foreign used,automatic,"₦ 9,500,000"
Lexus ES 350 2009 Black,Lexus,ES 350,2009,local used,automatic,"₦ 5,700,000"
Honda Accord Sport 4dr Sedan FWD (2.4L 4cyl 2A) 2016 Black,Honda,Accord Sport,2016,foreign used,automatic,"₦ 17,500,000"
Honda Accord 2004 Gold,Honda,Accord,2004,local used,automatic,"₦ 3,300,000"
Mazda 6 2005 Purple,Mazda,6,2005,local used,manual,"₦ 2,480,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2009 Black,Toyota,Camry LE,2009,local used,automatic,"₦ 5,650,000"
Mercedes-Benz M Class ML 350 4Matic 2012 Black,Mercedes-Benz,M Class,2012,foreign used,automatic,"₦ 25,500,000"
Toyota Highlander Limited 2010 Gold,Toyota,Highlander Limited,2010,foreign used,automatic,"₦ 20,000,000"
Mercedes-Benz C230 2007 Black,Mercedes-Benz,C230,2007,local used,automatic,"₦ 4,999,999"
Hyundai Sonata 2015 White,Hyundai,Sonata,2015,foreign used,automatic,"₦ 13,890,000"
Honda HR-V EX-L 2WD CVT 2023 Black,Honda,HR-V EX-L,2023,foreign used,automatic,"₦ 33,000,000"
Mercedes-Benz C300 Luxury 4dr RWD Sedan (2.0L 4cyl 7A) 2015 Black,Mercedes-Benz,C300 Luxury,2015,foreign used,automatic,"₦ 23,000,000"
Toyota Highlander 2015 Gray,Toyota,Highlander,2015,foreign used,automatic,"₦ 30,500,000"
Lexus ES 350 FWD 2013 White,Lexus,ES 350,2013,foreign used,automatic,"₦ 23,900,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2017 Gray,Toyota,Camry LE,2017,foreign used,automatic,"₦ 16,000,000"
Mercedes-Benz GLK-Class 350 4MATIC 2012 Gray,Mercedes-Benz,GLK-Class 350,2012,foreign used,automatic,"₦ 17,500,000"
Toyota Camry SE 2025 White,Toyota,Camry SE,2025,foreign used,automatic,"₦ 79,000,000"
Acura MDX 2016 Gray,Acura,MDX,2016,foreign used,automatic,"₦ 25,800,000"
Toyota Venza 2013 Red,Toyota,Venza,2013,foreign used,automatic,"₦ 17,500,000"
Hyundai Elantra Limited 4dr Sedan (1.8L 4cyl 6A) 2014 Black,Hyundai,Elantra Limited,2014,foreign used,automatic,"₦ 12,500,000"
Mercedes-Benz C230 2004 Gray,Mercedes-Benz,C230,2004,local used,automatic,"₦ 3,800,000"
Toyota Corolla 2015 Gray,Toyota,Corolla,2015,foreign used,automatic,"₦ 13,650,000"
Ford Edge 2013 White,Ford,Edge,2013,local used,automatic,"₦ 7,900,000"
Toyota Highlander L 2022 Gray,Toyota,Highlander L,2022,local used,automatic,"₦ 22,000,000"
Nissan Rogue S 2009 White,Nissan,Rogue S,2009,local used,automatic,"₦ 4,500,000"
Mercedes-Benz GLE-Class GLE 400 4MATIC 2016 Black,Mercedes-Benz,GLE-Class GLE,2016,local used,automatic,"₦ 39,000,000"
Acura MDX 2005 Gray,Acura,MDX,2005,local used,automatic,"₦ 3,691,000"
Toyota Corolla 2005 Gray,Toyota,Corolla,2005,local used,automatic,"₦ 5,200,000"
Toyota Sienna LE 2002 Brown,Toyota,Sienna LE,2002,local used,automatic,"₦ 3,500,000"
Toyota RAV4 LE 4dr SUV AWD (2.5L 4cyl 6A) 2014 Gray,Toyota,RAV4 LE,2014,local used,automatic,"₦ 18,000,000"
Ford Explorer Platinum 4dr 4x4 (3.5L 6cyl 6A) 2017 White,Ford,Explorer Platinum,2017,local used,automatic,"₦ 20,500,000"
Toyota Sienna CE FWD 2006 Blue,Toyota,Sienna CE,2006,foreign used,automatic,"₦ 10,200,000"
Dodge RAM 1500 3.6 Petrol AWD 2022 Black,Dodge,RAM 1500,2022,foreign used,automatic,"₦ 48,000,000"
Honda Civic LX Sedan 2012 White,Honda,Civic LX,2012,foreign used,automatic,"₦ 12,300,000"
Toyota Corolla LE Eco 4dr Sedan (1.8L 4cyl CVT) 2014 Gray,Toyota,Corolla LE,2014,foreign used,automatic,"₦ 15,200,000"
Toyota Sienna XLE Limited 2005 Gold,Toyota,Sienna XLE,2005,local used,automatic,"₦ 6,800,000"
Chevrolet Corvette 2022 Silver,Chevrolet,Corvette,2022,foreign used,automatic,"₦ 197,000,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2016 Silver,Toyota,Camry LE,2016,foreign used,automatic,"₦ 16,300,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 Green,Toyota,Camry LE,2010,foreign used,automatic,"₦ 10,000,000"
Toyota Camry XSE (2.5L 4cyl 8A) 2019 Black,Toyota,Camry XSE,2019,foreign used,automatic,"₦ 32,000,000"
Ford Focus 2000 Blue,Ford,Focus,2000,local used,manual,"₦ 3,080,000"
Lexus RX 2011 Black,Lexus,RX,2011,local used,automatic,"₦ 14,500,000"
Land Rover Range Rover Sport 4.2 V8 SC 2008 Blue,Land,Rover Range,2008,foreign used,automatic,"₦ 11,000,000"
Hyundai Santa Fe SE 2023 Blue,Hyundai,Santa Fe,2023,foreign used,automatic,"₦ 42,500,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2012 Silver,Toyota,Corolla LE,2012,local used,automatic,"₦ 13,000,000"
Mercedes-Benz C300 Sport 4Matic Sedan AWD (2.0L 4cyll 7A) 2016 Silver,Mercedes-Benz,C300 Sport,2016,local used,automatic,"₦ 17,500,000"
Toyota Avalon Touring FWD Sedan (3.5L V6 8A) 2019 Silver,Toyota,Avalon Touring,2019,foreign used,automatic,"₦ 46,500,000"
Mercedes-Benz E300 2016 Black,Mercedes-Benz,E300,2016,local used,automatic,"₦ 22,000,000"
Toyota Camry XSE FWD (2.5L 4cyl 8AM) 2018 Black,Toyota,Camry XSE,2018,local used,automatic,"₦ 22,000,000"
Toyota Highlander SE 2012 Blue,Toyota,Highlander SE,2012,local used,automatic,"₦ 6,900,000"
Lexus ES 350 2010,Lexus,ES 350,2010,foreign used,automatic,"₦ 12,700,000"
Honda Accord 2005 Silver,Honda,Accord,2005,local used,automatic,"₦ 3,480,000"
Nissan Rogue S 2009 Silver,Nissan,Rogue S,2009,local used,automatic,"₦ 5,500,000"
Kia Morning 2012 White,Kia,Morning,2012,foreign used,automatic,"₦ 9,500,000"
Mercedes-Benz M Class ML 350 4Matic 2013 Black,Mercedes-Benz,M Class,2013,local used,automatic,"₦ 18,900,000"
Kia Cerato 2010 Red,Kia,Cerato,2010,local used,manual,"₦ 3,980,000"
Peugeot 406 2004 Black,Peugeot,406,2004,local used,manual,"₦ 2,800,000"
Honda Accord 2014 White,Honda,Accord,2014,foreign used,automatic,"₦ 13,800,000"
Toyota Venza V6 2010 Black,Toyota,Venza V6,2010,local used,automatic,"₦ 12,500,000"
Toyota Hilux SR 4x4 2013 Black,Toyota,Hilux SR,2013,local used,automatic,"₦ 23,000,000"
Toyota Highlander Limited 2011 Black,Toyota,Highlander Limited,2011,local used,automatic,"₦ 12,500,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2014 White,Toyota,Camry LE,2014,foreign used,automatic,"₦ 12,950,000"
Toyota Yaris 2008 Gold,Toyota,Yaris,2008,local used,automatic,"₦ 4,500,000"
Toyota Land Cruiser Prado 2.7 i 16V 2005 Black,Toyota,Land Cruiser,2005,local used,automatic,"₦ 14,700,000"
Mercedes-Benz GLE-Class GLE 350 2018 Gray,Mercedes-Benz,GLE-Class GLE,2018,foreign used,automatic,"₦ 37,000,000"
Honda Accord EX-L V-6 4dr Sedan FWD (3.5L 6cyl 6A) 2016 Gray,Honda,Accord EX-L,2016,local used,automatic,"₦ 13,500,000"
Honda Accord Sport 4dr Sedan FWD (2.4L 4cyl 2A) 2013 Black,Honda,Accord Sport,2013,foreign used,automatic,"₦ 14,700,000"
Honda Accord Sport 2018 Blue,Honda,Accord Sport,2018,local used,automatic,"₦ 21,900,000"
Chrysler 300C Base AWD 2010 White,Chrysler,300C Base,2010,local used,automatic,"₦ 36,850,000"
Toyota Highlander XSE FWD 2023 Burgundy,Toyota,Highlander XSE,2023,foreign used,automatic,"₦ 66,000,000"
Acura ZDX Base AWD 2010 Silver,Acura,ZDX Base,2010,local used,automatic,"₦ 8,500,000"
Land Rover Range Rover Sport Autobiography 4x4 (5.0L 8cyl 6A) 2013,Land,Rover Range,2013,local used,automatic,"₦ 7,500,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 Silver,Toyota,Camry LE,2010,local used,automatic,"₦ 8,100,000"
Toyota RAV4 XLE Premium AWD 2020 Red,Toyota,RAV4 XLE,2020,foreign used,automatic,"₦ 37,000,000"
Lexus IS 200t 2016 White,Lexus,IS 200t,2016,foreign used,automatic,"₦ 32,100,000"
BMW 535i 2013 Black,BMW,535i,2013,foreign used,automatic,"₦ 18,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2015 Black,Toyota,Camry SE,2015,local used,automatic,"₦ 12,500,000"
Honda Accord EX-L V-6 4dr Sedan FWD (3.5L 6cyl 6A) 2013 Black,Honda,Accord EX-L,2013,foreign used,automatic,"₦ 15,700,000"
Mercedes-Benz C300 Sport Sedan AWD (3.0L 6cyl 7A) 2008 Gray,Mercedes-Benz,C300 Sport,2008,local used,automatic,"₦ 7,500,000"
Hyundai Elantra 2024 Black,Hyundai,Elantra,2024,foreign used,automatic,"₦ 42,000,000"
Toyota Highlander 2004 Gold,Toyota,Highlander,2004,local used,automatic,"₦ 5,900,000"
Hyundai Sonata Sport 4dr Sedan (2.4L 4cyl 6A) 2015 Gray,Hyundai,Sonata Sport,2015,local used,automatic,"₦ 10,500,000"
Honda Civic LX Coupe 2018 Black,Honda,Civic LX,2018,foreign used,automatic,"₦ 14,000,000"
Toyota Sienna 2005 Gold,Toyota,Sienna,2005,local used,automatic,"₦ 5,780,000"
Honda Accord Automatic 2005 Silver,Honda,Accord Automatic,2005,local used,automatic,"₦ 2,658,000"
Toyota Highlander 2021 White,Toyota,Highlander,2021,foreign used,automatic,"₦ 82,265,625"
Mercedes-Benz C300 Sport Sedan RWD (3.0L 6cyl 6M) 2009 White,Mercedes-Benz,C300 Sport,2009,foreign used,automatic,"₦ 10,000,000"
Toyota Camry SE (2.5L 4cyl 8A) 2019 White,Toyota,Camry SE,2019,foreign used,automatic,"₦ 28,700,000"
Honda Accord EX-L 4dr Sedan (2.4L 4cyl CVT) 2014 Black,Honda,Accord EX-L,2014,foreign used,automatic,"₦ 15,500,000"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2008 Black,Toyota,Camry SE,2008,local used,automatic,"₦ 6,950,000"
Ford Edge Titanium 2022 Gray,Ford,Edge Titanium,2022,local used,automatic,"₦ 47,500,000"
Honda Ridgeline Sport 2021 Blue,Honda,Ridgeline Sport,2021,foreign used,automatic,"₦ 62,000,000"
Hyundai Ix35 2012 Black,Hyundai,Ix35,2012,local used,automatic,"₦ 9,900,000"
Mercedes-Benz C300 Sport 4Matic Sedan AWD (2.0L 4cyl 7A) 2017 Silver,Mercedes-Benz,C300 Sport,2017,foreign used,automatic,"₦ 27,000,000"
Lexus IS 250 C 2010 Black,Lexus,IS 250,2010,foreign used,automatic,"₦ 13,900,000"
Toyota Avalon Touring 2022 Black,Toyota,Avalon Touring,2022,foreign used,automatic,"₦ 54,900,000"
Toyota Venza V6 AWD 2012 Gray,Toyota,Venza V6,2012,foreign used,automatic,"₦ 19,500,000"
Land Rover Range Rover Sport 2019 Black,Land,Rover Range,2019,local used,automatic,"₦ 46,100,000"
Hyundai Sonata Sport Sedan FWD (2.4L 4cyl 6A) 2017 Silver,Hyundai,Sonata Sport,2017,foreign used,automatic,"₦ 16,800,000"
Lexus RX 350 2011 Silver,Lexus,RX 350,2011,foreign used,automatic,"₦ 20,000,000"
Toyota Camry 1994 Blue,Toyota,Camry,1994,local used,automatic,"₦ 2,100,000"
Toyota Corolla 2016 Black,Toyota,Corolla,2016,local used,automatic,"₦ 9,880,000"
Nissan Almera 2014 Black,Nissan,Almera,2014,local used,automatic,"₦ 4,950,000"
Acura MDX Advance & Ent. Pkgs SH-AWD 2020 Silver,Acura,MDX Advance,2020,foreign used,automatic,"₦ 47,000,000"
Lexus GX 550 Luxury+ 4WD 2025 White,Lexus,GX 550,2025,foreign used,automatic,"₦ 210,000,000"
Toyota Camry XSE V6 (3.5L V6 8A) 2019 White,Toyota,Camry XSE,2019,foreign used,automatic,"₦ 36,500,000"
Toyota Camry SE w/Special Edition Pkg (2.5L 4cyl 6A) 2016 White,Toyota,Camry SE,2016,foreign used,automatic,"₦ 18,500,000"
Land Rover Range Rover Sport Autobiography 2024 Gray,Land,Rover Range,2024,foreign used,automatic,"₦ 330,000,000"
Honda Accord EX-L 4dr Sedan (2.4L 4cyl CVT) 2014 Black,Honda,Accord EX-L,2014,foreign used,automatic,"₦ 16,200,000"
Hyundai Elantra GLS Sedan FWD (1.8L 4cyl 6A) 2013 Red,Hyundai,Elantra GLS,2013,local used,automatic,"₦ 7,850,000"
Mercedes-Benz GLA 250 2015 Blue,Mercedes-Benz,GLA 250,2015,foreign used,automatic,"₦ 22,000,000"
Lexus RX 350 FWD 2014 Black,Lexus,RX 350,2014,foreign used,automatic,"₦ 23,000,000"
Chevrolet Traverse 2LT 2012 Burgundy,Chevrolet,Traverse 2LT,2012,foreign used,automatic,"₦ 13,000,000"
Hyundai Sonata Limited 4dr Sedan w/Prod. End 12/13 (2.0L 4cyl Turbo 6A),,,,foreign used,automatic,"₦ 13,800,000"
Mercedes-Benz C300 Sport 4Matic Sedan AWD (3.5L 6cyl 7A) 2014 White,Mercedes-Benz,C300 Sport,2014,foreign used,automatic,"₦ 14,800,000"
Hyundai Genesis 3.8 4dr Sedan AWD (3.8L 6cyl 8A) 2015 Gray,Hyundai,Genesis 3,2015,foreign used,automatic,"₦ 28,800,000"
Honda Crosstour 3.5 AWD 2014 White,Honda,Crosstour 3,2014,foreign used,automatic,"₦ 18,500,000"
Nissan X-Trail 2010 Black,Nissan,X-Trail,2010,local used,automatic,"₦ 5,870,000"
Dodge Caliber 1.8 L SE 2007 Red,Dodge,Caliber 1,2007,local used,automatic,"₦ 3,800,000"
Toyota Camry 2007 White,Toyota,Camry,2007,local used,automatic,"₦ 5,000,000"
Toyota Highlander LE Plus 4dr SUV (3.5L 6cyl 6A) 2015 Blue,Toyota,Highlander LE,2015,foreign used,automatic,"₦ 30,000,000"
Lexus RX 300 2WD 2002 Red,Lexus,RX 300,2002,local used,automatic,"₦ 2,999,999"
Acura ZDX Base AWD 2012 Black,Acura,ZDX Base,2012,local used,automatic,"₦ 10,000,000"
Toyota Highlander 4x4 2009 Burgundy,Toyota,Highlander 4x4,2009,foreign used,automatic,"₦ 13,000,000"
Hyundai Elantra Limited Sedan FWD (1.8L 4cyl 6A) 2013 Brown,Hyundai,Elantra Limited,2013,foreign used,automatic,"₦ 11,000,000"
Toyota Camry XLE (2.5L 4cyl 8A) 2019 Gray,Toyota,Camry XLE,2019,foreign used,automatic,"₦ 27,800,000"
Toyota Camry XSE 2022 Gray,Toyota,Camry XSE,2022,foreign used,automatic,"₦ 46,500,000"
Toyota Camry LE 2021 Gray,Toyota,Camry LE,2021,foreign used,automatic,"₦ 27,000,000"
Toyota Sienna XLE 2005 Gold,Toyota,Sienna XLE,2005,foreign used,automatic,"₦ 11,900,000"
Honda Accord EX-L 2.0T 2020 Silver,Honda,Accord EX-L,2020,foreign used,automatic,"₦ 29,500,000"
Toyota Camry SE (2.5L 4cyl 8A) 2019 Blue,Toyota,Camry SE,2019,foreign used,automatic,"₦ 26,900,000"
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2018 White,Toyota,Highlander XLE,2018,foreign used,automatic,"₦ 24,000,000"
Mercedes-Benz G-Class G63 AMG 4dr SUV 4WD (5.5L 8cyl Turbo 7A) 2014,Mercedes-Benz,G-Class G63,2014,foreign used,automatic,"₦ 95,000,000"
Mercedes-Benz E350 2022 Gray,Mercedes-Benz,E350,2022,foreign used,automatic,"₦ 120,000,000"
Lexus RX 350 2012 Black,Lexus,RX 350,2012,foreign used,automatic,"₦ 20,500,000"
Honda Accord EX-L V-6 4dr Sedan FWD (3.5L 6cyl 6A) 2016 Black,Honda,Accord EX-L,2016,foreign used,automatic,"₦ 20,900,000"
Toyota Avalon XLE Premium Sedan FWD (3.5L 6cyl 6A) 2013 White,Toyota,Avalon XLE,2013,local used,automatic,"₦ 13,500,000"
Toyota Avalon XLE FWDSedan (3.6L 6cyl 6A) 2016 Maroon,Toyota,Avalon XLE,2016,foreign used,automatic,"₦ 26,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl CVT) 2016 Silver,Toyota,Corolla LE,2016,local used,automatic,"₦ 10,500,000"
Hyundai Sonata 2017 White,Hyundai,Sonata,2017,foreign used,automatic,"₦ 12,000,000"
Honda Odyssey 2011 Gray,Honda,Odyssey,2011,local used,automatic,"₦ 7,470,000"
Kia Soul 2013 White,Kia,Soul,2013,local used,automatic,"₦ 5,500,000"
Toyota Corolla LE Eco (1.8L 4cyl 2A) 2018 Gray,Toyota,Corolla LE,2018,foreign used,automatic,"₦ 16,999,999"
Honda Element 2004 Green,Honda,Element,2004,local used,automatic,"₦ 4,200,000"
Mercedes-Benz GLE-Class GLE 350 2016 Blue,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 31,500,000"
Kia Morning 2012 Silver,Kia,Morning,2012,foreign used,automatic,"₦ 6,980,000"
Toyota Venza LE 2014 Black,Toyota,Venza LE,2014,foreign used,automatic,"₦ 21,000,000"
Toyota RAV4 2.5 2010 Blue,Toyota,RAV4 2,2010,foreign used,automatic,"₦ 13,999,999"
Mini Cooper S 2012 Brown,Mini,Cooper S,2012,foreign used,automatic,"₦ 18,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Black,Toyota,Camry SE,2013,foreign used,automatic,"₦ 12,700,000"
Lexus RX 350 2011 Black,Lexus,RX 350,2011,local used,automatic,"₦ 14,000,000"
Toyota Corolla Sedan Automatic 2003 Blue,Toyota,Corolla Sedan,2003,local used,automatic,"₦ 5,900,000"
Toyota Camry SE Nightshade 2023 Gray,Toyota,Camry SE,2023,foreign used,automatic,"₦ 32,500,000"
Ford Edge SEL AWD 2018 Burgundy,Ford,Edge SEL,2018,foreign used,automatic,"₦ 28,000,000"
Honda Accord 2.4 LX 2008 Gray,Honda,Accord 2,2008,foreign used,automatic,"₦ 8,300,000"
Honda Accord EX-L 2018 Brown,Honda,Accord EX-L,2018,foreign used,automatic,"₦ 25,300,000"
Lexus IS 250 2008 Black,Lexus,IS 250,2008,foreign used,automatic,"₦ 10,200,000"
Toyota Camry SE FWD (2.5L 4cyl 8AM) 2018 White,Toyota,Camry SE,2018,foreign used,automatic,"₦ 28,500,000"
Hyundai Santa Fe Limited AWD 2016 Silver,Hyundai,Santa Fe,2016,foreign used,automatic,"₦ 18,300,000"
Mercedes-Benz M Class ML 350 4Matic 2013 White,Mercedes-Benz,M Class,2013,foreign used,automatic,"₦ 23,000,000"
Toyota Sienna 2013 Brown,Toyota,Sienna,2013,foreign used,automatic,"₦ 15,800,000"
Volkswagen Golf GTi Automatic 2004 Silver,Volkswagen,Golf GTi,2004,foreign used,automatic,"₦ 6,500,000"
Lexus GX 2012 Black,Lexus,GX,2012,local used,automatic,"₦ 28,500,000"
Hyundai Elantra Limited 4dr Sedan (1.8L 4cyl 6A) 2014 Black,Hyundai,Elantra Limited,2014,foreign used,automatic,"₦ 14,000,000"
Toyota Tacoma 2010 Silver,Toyota,Tacoma,2010,foreign used,automatic,"₦ 25,300,000"
Opel Corsa 2002 Blue,Opel,Corsa,2002,local used,automatic,"₦ 3,300,000"
BMW 328i 2013 Silver,BMW,328i,2013,foreign used,automatic,"₦ 15,500,000"
Ford Explorer 2012 Black,Ford,Explorer,2012,local used,automatic,"₦ 9,900,000"
Toyota Camry 2004 Red,Toyota,Camry,2004,local used,automatic,"₦ 3,980,000"
Hyundai Sonata Limited 2.0T Sedan (2.0L 4cyl 6A) 2013 Black,Hyundai,Sonata Limited,2013,local used,automatic,"₦ 8,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2007 Blue,Toyota,Camry LE,2007,foreign used,automatic,"₦ 11,200,000"
New Toyota Land Cruiser 2024 Black,New,Toyota Land,2024,brand new,automatic,"₦ 280,000,000"
Toyota Camry SE w/Special Edition Pkg (2.5L 4cyl 6A) 2016 Off white,Toyota,Camry SE,2016,foreign used,automatic,"₦ 17,800,000"
Toyota Corolla SE 2020 Red,Toyota,Corolla SE,2020,foreign used,automatic,"₦ 25,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2015 Blue,Toyota,Camry SE,2015,foreign used,automatic,"₦ 15,700,000"
Honda Accord Touring 2018 Black,Honda,Accord Touring,2018,foreign used,automatic,"₦ 25,500,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 Silver,Toyota,Camry LE,2010,foreign used,automatic,"₦ 11,000,000"
Volkswagen Tiguan 2.0T SEL FWD 2018 White,Volkswagen,Tiguan 2,2018,foreign used,automatic,"₦ 31,000,000"
Honda Accord EX-L 4dr Sedan FWD (2.4L 4cyl 2A) 2016 White,Honda,Accord EX-L,2016,foreign used,automatic,"₦ 15,500,000"
Honda Accord EX-L 2dr Coupe FWD (2.4L 4cyl 2A) 2017 White,Honda,Accord EX-L,2017,foreign used,automatic,"₦ 16,500,000"
Lexus RX 2011 Silver,Lexus,RX,2011,local used,automatic,"₦ 13,921,875"
Kia Sorento 3.3L SXL FWD 2018 White,Kia,Sorento 3,2018,foreign used,automatic,"₦ 20,500,000"
Toyota Sienna 2015 Gray,Toyota,Sienna,2015,foreign used,automatic,"₦ 24,500,000"
Toyota RAV4 2.5 4x4 2012 Gray,Toyota,RAV4 2,2012,local used,automatic,"₦ 10,700,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2014,Mercedes-Benz,M Class,2014,local used,automatic,"₦ 19,200,000"
Lexus IS 250 2008 Gray,Lexus,IS 250,2008,local used,automatic,"₦ 9,000,000"
Mercedes-Benz E300 4Matic AWD Sedan (2.0L 4cyl 9A) 2017 White,Mercedes-Benz,E300 4Matic,2017,foreign used,automatic,"₦ 39,500,000"
Honda CR-V 2004 Blue,Honda,CR-V,2004,local used,automatic,"₦ 2,900,000"
Toyota Highlander XLE 4dr SUV AWD (3.5L 6cyl 6A) 2014 White,Toyota,Highlander XLE,2014,foreign used,automatic,"₦ 25,950,000"
Mini Cooper 2017,Mini,Cooper,2017,foreign used,automatic,"₦ 18,300,000"
Toyota RAV4 2007 Gold,Toyota,RAV4,2007,local used,automatic,"₦ 7,500,000"
Jeep Liberty Sport 2011 Red,Jeep,Liberty Sport,2011,foreign used,automatic,"₦ 8,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2015 Gray,Toyota,Camry SE,2015,foreign used,automatic,"₦ 16,200,000"
Hyundai Veloster Veloster (Standard) 2013 White,Hyundai,Veloster Veloster,2013,foreign used,automatic,"₦ 12,700,000"
Honda Accord Sport 2018 Blue,Honda,Accord Sport,2018,foreign used,automatic,"₦ 25,500,000"
