title,make,model,year,condition,transmission,price
Lexus ES 350 2007 Black,Lexus,ES 350,2007,foreign used,automatic,"₦ 11,500,000"
Toyota Highlander XLE 2019 Burgundy,Toyota,Highlander XLE,2019,foreign used,automatic,"₦ 36,000,000"
Lexus RX 350 2010 Black,Lexus,RX 350,2010,foreign used,automatic,"₦ 20,000,000"
Toyota Corolla 2017 Red,Toyota,Corolla,2017,foreign used,automatic,"₦ 17,700,000"
Mercedes-Benz GLE-Class GLE 450 4MATIC 2020 Gray,Mercedes-Benz,GLE-Class GLE,2020,foreign used,automatic,"₦ 80,000,000"
Lexus RX 350 FWD 2014 White,Lexus,RX 350,2014,foreign used,automatic,"₦ 25,500,000"
Toyota Venza AWD 2011 Black,Toyota,Venza AWD,2011,foreign used,automatic,"₦ 17,000,000"
Toyota RAV4 2008 Blue,Toyota,RAV4,2008,local used,automatic,"₦ 5,500,000"
Mercedes-Benz GLC-Class GLC 300 4MATIC AWD 2024 Black,Mercedes-Benz,GLC-Class GLC,2024,foreign used,automatic,"₦ 81,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl CVT) 2016 Red,Toyota,Corolla LE,2016,foreign used,automatic,"₦ 15,500,000"
Mercedes-Benz M Class 2013 Brown,Mercedes-Benz,M Class,2013,local used,automatic,"₦ 16,800,000"
Mercedes-Benz GLC-Class 2019 Black,Mercedes-Benz,GLC-Class,2019,foreign used,automatic,"₦ 29,500,000"
Mercedes-Benz GLK-Class 2014 Silver,Mercedes-Benz,GLK-Class,2014,local used,automatic,"₦ 13,500,000"
Ford Ranger 2002 Black,Ford,Ranger,2002,local used,manual,"₦ 4,200,000"
Mercedes-Benz CLA-Class CLA 250 Sedan 2013 Red,Mercedes-Benz,CLA-Class CLA,2013,foreign used,automatic,"₦ 18,500,000"
Toyota Venza 2015 Gray,Toyota,Venza,2015,local used,automatic,"₦ 11,000,000"
Lexus RX 2010 Black,Lexus,RX,2010,foreign used,automatic,"₦ 23,000,000"
Mercedes-Benz GLK-Class 350 4MATIC 2013 Blue,Mercedes-Benz,GLK-Class 350,2013,local used,automatic,"₦ 14,000,000"
Mercedes-Benz GLC-Class 2017 Black,Mercedes-Benz,GLC-Class,2017,foreign used,automatic,"₦ 47,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl CVT) 2015 Red,Toyota,Corolla LE,2015,foreign used,automatic,"₦ 13,999,999"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6A) 2012 White,Toyota,Camry XLE,2012,foreign used,automatic,"₦ 16,000,000"
Lexus GX 460 Luxury 2020 Black,Lexus,GX 460,2020,foreign used,automatic,"₦ 92,500,000"
Mercedes-Benz M Class ML350 4dr SUV (3.5L 6cyl 7A) 2014 Black,Mercedes-Benz,M Class,2014,foreign used,automatic,"₦ 26,800,000"
Toyota Camry 2.4 SE Automatic 2008 Green,Toyota,Camry 2,2008,local used,automatic,"₦ 5,450,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2012 White,Toyota,Camry LE,2012,foreign used,automatic,"₦ 12,500,000"
Toyota Camry 2.4 XLE 2008 Red,Toyota,Camry 2,2008,local used,automatic,"₦ 6,000,000"
